rule_id,rule_set,description,smarts,rule_set_name,priority,max,set_desc
44,1,I13 Cyanamides,N[CH2]C#N,Glaxo,8,0,Glaxo_I13 Cyanamides
45,1,I14 Four membered lactones,C1(=O)OCC1,Glaxo,8,0,Glaxo_I14 Four membered lactones
46,1,I15 Di and Triphosphates,P(=O)([OH])OP(=O)[OH],Glaxo,8,0,Glaxo_I15 Di and Triphosphates
47,1,I16 Betalactams,N1CCC1=O,Glaxo,8,0,Glaxo_I16 Betalactams
48,1,N1 Quinones,O=C1[#6]~[#6]C(=O)[#6]~[#6]1,Glaxo,8,0,Glaxo_N1 Quinones
49,1,N2 Polyenes,C=CC=CC=CC=C,Glaxo,8,0,Glaxo_N2 Polyenes
50,1,N3 Saponin derivatives,O1CCCCC1OC2CCC3CCCCC3C2,Glaxo,8,0,Glaxo_N3 Saponin derivatives
51,1,N4 Cytochalasin derivatives,O=C1NCC2CCCCC21,Glaxo,8,0,Glaxo_N4 Cytochalasin derivatives
52,1,N5 Cycloheximide derivatives,O=C1CCCC(N1)=O,Glaxo,8,0,Glaxo_N5 Cycloheximide derivatives
53,1,N6 Monensin derivatives,O1CCCCC1C2CCCO2,Glaxo,8,0,Glaxo_N6 Monensin derivatives
54,1,N7 Cyanidin derivatives,[OH]c1cc([OH])cc2=[O+]C(=C([OH])Cc21)c3cc([OH])c([OH])cc3,Glaxo,8,0,Glaxo_N7 Cyanidin derivatives
55,1,N8 Squalestatin derivatives,C12OCCC(O1)CC2,Glaxo,8,0,Glaxo_N8 Squalestatin derivatives
56,2,> 2 ester groups,"C(=O)O[C,H1].C(=O)O[C,H1].C(=O)O[C,H1]",Dundee,4,0,Dundee_> 2 ester groups
57,2,2-halo pyridine,"n1c([F,Cl,Br,I])cccc1",Dundee,4,0,Dundee_2-halo pyridine
58,2,acid halide,"C(=O)[Cl,Br,I,F]",Dundee,4,0,Dundee_acid halide
59,2,acyclic C=C-O,C=[C!r]O,Dundee,4,0,Dundee_acyclic C=C-O
60,2,acyl cyanide,N#CC(=O),Dundee,4,0,Dundee_acyl cyanide
61,2,acyl hydrazine,C(=O)N[NH2],Dundee,4,0,Dundee_acyl hydrazine
62,2,aldehyde,[CH1](=O),Dundee,4,0,Dundee_aldehyde
63,2,Aliphatic long chain,[R0;D2][R0;D2][R0;D2][R0;D2],Dundee,4,0,Dundee_Aliphatic long chain
64,2,alkyl halide,"[CX4][Cl,Br,I]",Dundee,4,0,Dundee_alkyl halide
65,2,amidotetrazole,c1nnnn1C=O,Dundee,4,0,Dundee_amidotetrazole
66,2,aniline,c1cc([NH2])ccc1,Dundee,4,0,Dundee_aniline
67,2,azepane,[CH2R2]1N[CH2R2][CH2R2][CH2R2][CH2R2][CH2R2]1,Dundee,4,0,Dundee_azepane
68,2,Azido group,N=[N+]=[N-],Dundee,4,0,Dundee_Azido group
69,2,Azo group,N#N,Dundee,4,0,Dundee_Azo group
70,2,azocane,[CH2R2]1N[CH2R2][CH2R2][CH2R2][CH2R2][CH2R2][CH2R2]1,Dundee,4,0,Dundee_azocane
71,2,benzidine,"[cR2]1[cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2][cR2]1[cR2]2[cR2][cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2]2",Dundee,4,0,Dundee_benzidine
72,2,beta-keto/anhydride,"[C,c](=O)[CX4,CR0X3,O][C,c](=O)",Dundee,4,0,Dundee_beta-keto/anhydride
73,2,biotin analogue,C12C(NC(N1)=O)CSC2,Dundee,4,0,Dundee_biotin analogue
74,2,Carbocation/anion,"[C+,c+,C-,c-]",Dundee,4,0,Dundee_Carbocation/anion
75,2,catechol,"c1c([OH])c([OH,NH2,NH])ccc1",Dundee,4,0,Dundee_catechol
76,2,charged oxygen or sulfur atoms,"[O+,o+,S+,s+]",Dundee,4,0,Dundee_charged oxygen or sulfur atoms
77,2,chinone,"C1(=[O,N])C=CC(=[O,N])C=C1",Dundee,4,0,Dundee_chinone
78,2,chinone,"C1(=[O,N])C(=[O,N])C=CC=C1",Dundee,4,0,Dundee_chinone
79,2,conjugated nitrile group,C=[C!r]C#N,Dundee,4,0,Dundee_conjugated nitrile group
80,2,crown ether,"[OR2,NR2]@[CR2]@[CR2]@[OR2,NR2]@[CR2]@[CR2]@[OR2,NR2]",Dundee,4,0,Dundee_crown ether
81,2,cumarine,c1ccc2c(c1)ccc(=O)o2,Dundee,4,0,Dundee_cumarine
82,2,cyanamide,N[CH2]C#N,Dundee,4,0,Dundee_cyanamide
83,2,cyanate/aminonitrile/thiocyanate,"[N,O,S]C#N",Dundee,4,0,Dundee_cyanate/aminonitrile/thiocyanate
84,2,cyanohydrins,N#CC[OH],Dundee,4,0,Dundee_cyanohydrins
85,2,cycloheptane,[CR2]1[CR2][CR2][CR2][CR2][CR2][CR2]1,Dundee,4,0,Dundee_cycloheptane
86,2,cycloheptane,[CR2]1[CR2][CR2]cc[CR2][CR2]1,Dundee,4,0,Dundee_cycloheptane
87,2,cyclooctane,[CR2]1[CR2][CR2][CR2][CR2][CR2][CR2][CR2]1,Dundee,4,0,Dundee_cyclooctane
88,2,cyclooctane,[CR2]1[CR2][CR2]cc[CR2][CR2][CR2]1,Dundee,4,0,Dundee_cyclooctane
89,2,diaminobenzene,"[cR2]1[cR2]c([N+0X3R0,nX3R0])c([N+0X3R0,nX3R0])[cR2][cR2]1",Dundee,4,0,Dundee_diaminobenzene
90,2,diaminobenzene,"[cR2]1[cR2]c([N+0X3R0,nX3R0])[cR2]c([N+0X3R0,nX3R0])[cR2]1",Dundee,4,0,Dundee_diaminobenzene
91,2,diaminobenzene,"[cR2]1[cR2]c([N+0X3R0,nX3R0])[cR2][cR2]c1([N+0X3R0,nX3R0])",Dundee,4,0,Dundee_diaminobenzene
92,2,diazo group,[N!R]=[N!R],Dundee,4,0,Dundee_diazo group
93,2,diketo group,"[C,c](=O)[C,c](=O)",Dundee,4,0,Dundee_diketo group
94,2,disulphide,SS,Dundee,4,0,Dundee_disulphide
95,2,enamine,[CX2R0][NX3R0],Dundee,4,0,Dundee_enamine
96,2,ester of HOBT,C(=O)Onnn,Dundee,4,0,Dundee_ester of HOBT
97,2,four member lactones,C1(=O)OCC1,Dundee,4,0,Dundee_four member lactones
98,2,halogenated ring,"c1cc([Cl,Br,I,F])cc([Cl,Br,I,F])c1[Cl,Br,I,F]",Dundee,4,0,Dundee_halogenated ring
99,2,halogenated ring,"c1ccc([Cl,Br,I,F])c([Cl,Br,I,F])c1[Cl,Br,I,F]",Dundee,4,0,Dundee_halogenated ring
100,2,heavy metal,"[Hg,Fe,As,Sb,Zn,Se,se,Te,B,Si]",Dundee,4,0,Dundee_heavy metal
101,2,het-C-het not in ring,"[NX3R0,NX4R0,OR0,SX2R0][CX4][NX3R0,NX4R0,OR0,SX2R0]",Dundee,4,0,Dundee_het-C-het not in ring
102,2,hydantoin,C1NC(=O)NC(=O)1,Dundee,4,0,Dundee_hydantoin
103,2,hydrazine,N[NH2],Dundee,4,0,Dundee_hydrazine
104,2,hydroquinone,"[OH]c1ccc([OH,NH2,NH])cc1",Dundee,4,0,Dundee_hydroquinone
105,2,hydroxamic acid,C(=O)N[OH],Dundee,4,0,Dundee_hydroxamic acid
106,2,imine,C=[N!R],Dundee,4,0,Dundee_imine
107,2,imine,"N=[CR0][N,n,O,S]",Dundee,4,0,Dundee_imine
108,2,iodine,I,Dundee,4,0,Dundee_iodine
109,2,isocyanate,N=C=O,Dundee,4,0,Dundee_isocyanate
110,2,isolated alkene,"[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]=[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]",Dundee,4,0,Dundee_isolated alkene
111,2,ketene,C=C=O,Dundee,4,0,Dundee_ketene
112,2,"methylidene-1,3-dithiole",S1C=CSC1=S,Dundee,4,0,"Dundee_methylidene-1,3-dithiole"
113,2,Michael acceptor,"C=!@CC=[O,S]",Dundee,4,0,Dundee_Michael acceptor
114,2,Michael acceptor,"[$([CH]),$(CC)]#CC(=O)[C,c]",Dundee,4,0,Dundee_Michael acceptor
115,2,Michael acceptor,"[$([CH]),$(CC)]#CS(=O)(=O)[C,c]",Dundee,4,0,Dundee_Michael acceptor
116,2,Michael acceptor,C=C(C=O)C=O,Dundee,4,0,Dundee_Michael acceptor
117,2,Michael acceptor,"[$([CH]),$(CC)]#CC(=O)O[C,c]",Dundee,4,0,Dundee_Michael acceptor
118,2,N oxide,"[NX2,nX3][OX1]",Dundee,4,0,Dundee_N oxide
119,2,"N-acyl-2-amino-5-mercapto-1,3,4-thiadiazole",s1c(S)nnc1NC=O,Dundee,4,0,"Dundee_N-acyl-2-amino-5-mercapto-1,3,4-thiadiazole"
120,2,N-C-halo,"NC[F,Cl,Br,I]",Dundee,4,0,Dundee_N-C-halo
121,2,N-halo,"[NX3,NX4][F,Cl,Br,I]",Dundee,4,0,Dundee_N-halo
122,2,N-hydroxyl pyridine,n[OH],Dundee,4,0,Dundee_N-hydroxyl pyridine
123,2,nitro group,[N+](=O)[O-],Dundee,4,0,Dundee_nitro group
124,2,N-nitroso,[#7]-N=O,Dundee,4,0,Dundee_N-nitroso
125,2,oxime,"[C,c]=N[OH]",Dundee,4,0,Dundee_oxime
126,2,oxime,"[C,c]=NOC=O",Dundee,4,0,Dundee_oxime
127,2,Oxygen-nitrogen single bond,"[OR0,NR0][OR0,NR0]",Dundee,4,0,Dundee_Oxygen-nitrogen single bond
128,2,perfluorinated chain,[CX4](F)(F)[CX4](F)F,Dundee,4,0,Dundee_perfluorinated chain
129,2,peroxide,OO,Dundee,4,0,Dundee_peroxide
130,2,phenol ester,c1ccccc1OC(=O)[#6],Dundee,4,0,Dundee_phenol ester
131,2,phenyl carbonate,c1ccccc1OC(=O)O,Dundee,4,0,Dundee_phenyl carbonate
132,2,phosphor,P,Dundee,4,0,Dundee_phosphor
133,2,phthalimide,"[cR,CR]~C(=O)NC(=O)~[cR,CR]",Dundee,4,0,Dundee_phthalimide
134,2,Polycyclic aromatic hydrocarbon,a1aa2a3a(a1)A=AA=A3=AA=A2,Dundee,4,0,Dundee_Polycyclic aromatic hydrocarbon
135,2,Polycyclic aromatic hydrocarbon,a21aa3a(aa1aaaa2)aaaa3,Dundee,4,0,Dundee_Polycyclic aromatic hydrocarbon
136,2,Polycyclic aromatic hydrocarbon,a31a(a2a(aa1)aaaa2)aaaa3,Dundee,4,0,Dundee_Polycyclic aromatic hydrocarbon
137,2,polyene,[CR0]=[CR0][CR0]=[CR0],Dundee,4,0,Dundee_polyene
138,2,quaternary nitrogen,"[s,S,c,C,n,N,o,O]~[nX3+,NX3+](~[s,S,c,C,n,N])~[s,S,c,C,n,N]",Dundee,4,0,Dundee_quaternary nitrogen
139,2,quaternary nitrogen,"[s,S,c,C,n,N,o,O]~[n+,N+](~[s,S,c,C,n,N,o,O])(~[s,S,c,C,n,N,o,O])~[s,S,c,C,n,N,o,O]",Dundee,4,0,Dundee_quaternary nitrogen
140,2,quaternary nitrogen,[*]=[N+]=[*],Dundee,4,0,Dundee_quaternary nitrogen
141,2,saponine derivative,O1CCCCC1OC2CCC3CCCCC3C2,Dundee,4,0,Dundee_saponine derivative
142,2,silicon halogen,"[Si][F,Cl,Br,I]",Dundee,4,0,Dundee_silicon halogen
143,2,stilbene,c1ccccc1C=Cc2ccccc2,Dundee,4,0,Dundee_stilbene
144,2,sulfinic acid,"[SX3](=O)[O-,OH]",Dundee,4,0,Dundee_sulfinic acid
145,2,Sulfonic acid,"[C,c]S(=O)(=O)O[C,c]",Dundee,4,0,Dundee_Sulfonic acid
146,2,Sulfonic acid,"S(=O)(=O)[O-,OH]",Dundee,4,0,Dundee_Sulfonic acid
147,2,sulfonyl cyanide,S(=O)(=O)C#N,Dundee,4,0,Dundee_sulfonyl cyanide
148,2,sulfur oxygen single bond,[SX2]O,Dundee,4,0,Dundee_sulfur oxygen single bond
149,2,sulphate,OS(=O)(=O)[O-],Dundee,4,0,Dundee_sulphate
150,2,Sulphur-nitrogen single bond,[SX2H0][N],Dundee,4,0,Dundee_Sulphur-nitrogen single bond
151,2,Thiobenzothiazole,c12ccccc1(SC(S)=N2),Dundee,4,0,Dundee_Thiobenzothiazole
152,2,thiobenzothiazole,c12ccccc1(SC(=S)N2),Dundee,4,0,Dundee_thiobenzothiazole
153,2,Thiocarbonyl group,"[C,c]=S",Dundee,4,0,Dundee_Thiocarbonyl group
154,2,thioester,SC=O,Dundee,4,0,Dundee_thioester
155,2,thiol,[S-],Dundee,4,0,Dundee_thiol
156,2,thiol,[SH],Dundee,4,0,Dundee_thiol
157,2,Three-membered heterocycle,"*1[O,S,N]*1",Dundee,4,0,Dundee_Three-membered heterocycle
158,2,triflate,OS(=O)(=O)C(F)(F)F,Dundee,4,0,Dundee_triflate
159,2,triphenyl methylsilyl,"[SiR0,CR0](c1ccccc1)(c2ccccc2)(c3ccccc3)",Dundee,4,0,Dundee_triphenyl methylsilyl
160,2,triple bond,C#C,Dundee,4,0,Dundee_triple bond
161,3,2halo_pyrazine_3EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#7][#6][#6]1",BMS,7,0,BMS_2halo_pyrazine_3EWG
162,3,2halo_pyrazine_5EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6;!$(c-N)][#7][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c-N)]1",BMS,7,0,BMS_2halo_pyrazine_5EWG
163,3,2halo_pyridazine_3EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6][#6][#7]1",BMS,7,0,BMS_2halo_pyridazine_3EWG
164,3,2halo_pyridazine_5EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#6][#6][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#7]1",BMS,7,0,BMS_2halo_pyridazine_5EWG
165,3,2halo_pyridine_3EWG,"[#7;R1]1[#6;!$(c=O)]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c-N)][#6][#6;!$(c-N)]1",BMS,7,0,BMS_2halo_pyridine_3EWG
166,3,2halo_pyridine_5EWG,"[#7;R1]1[#6;!$(c=O)]([F,Cl,Br,I])[#6][#6;!$(c-N)][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6;!$(c=O);!$(c-N)]1",BMS,7,0,BMS_2halo_pyridine_5EWG
167,3,2halo_pyrimidine_5EWG,"[#7;R1]1[#6]([F,Cl,Br,I])[#7][#6][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]1",BMS,7,0,BMS_2halo_pyrimidine_5EWG
168,3,3halo_pyridazine_2EWG,"[#7;R1]1[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]([F,Cl,Br,I])[#6][#6][#7]1",BMS,7,0,BMS_3halo_pyridazine_2EWG
169,3,3halo_pyridazine_4EWG,"[#7;R1]1[#6][#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6][#7]1",BMS,7,0,BMS_3halo_pyridazine_4EWG
170,3,4_pyridone_3_5_EWG,"[#7,#8,#16]1~[#6;H]~[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])~[#6](=O)~[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])~[#6;H]1",BMS,7,0,BMS_4_pyridone_3_5_EWG
171,3,4halo_pyridine_3EWG,"[#7;R1]1[#6;!$(c=O);!$(c-N)][#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]([F,Cl,Br,I])[#6][#6;!$(c=O);!$(c-N)]1",BMS,7,0,BMS_4halo_pyridine_3EWG
172,3,4halo_pyrimidine_2_6EWG,"[#7]1[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#7;R1][#6]([F,Cl,Br,I])[#6][#6]1([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])",BMS,7,0,BMS_4halo_pyrimidine_2_6EWG
173,3,4halo_pyrimidine_5EWG,"[#7]1[#6][#7;R1][#6]([F,Cl,Br,I])[#6]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[#6]1",BMS,7,0,BMS_4halo_pyrimidine_5EWG
174,3,CH2_S#O_3_ring,"[CH2]1[O,S]C1",BMS,7,0,BMS_CH2_S#O_3_ring
175,3,HOBT_ester,"O=C(-[!N])O[$(nnn),$([#7]-[#7]=[#7])]",BMS,7,0,BMS_HOBT_ester
176,3,NO_phosphonate,P(=O)ON,BMS,7,0,BMS_NO_phosphonate
177,3,acrylate,[CH2]=[C;!$(C-N);!$(C-O)]C(=O),BMS,7,0,BMS_acrylate
178,3,activated_4mem_ring,"[#6]1~[$(C(=O)),$(S(=O))]~[O,S,N]~[$(C(=O)),$(S(=O))]1",BMS,7,0,BMS_activated_4mem_ring
179,3,activated_S#O_3_ring,"C1~[O,S]~[C,N,O,S]1[a,N,O,S]",BMS,7,0,BMS_activated_S#O_3_ring
180,3,activated_acetylene,"[$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))]C#[C;!$(C-N);!$(C-n)]",BMS,7,0,BMS_activated_acetylene
181,3,activated_diazo,"[N;!R]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])=[N;!R]([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])",BMS,7,0,BMS_activated_diazo
182,3,activated_vinyl_ester,"O=COC=[$(C(S(=O)(=O))),$(C(C(F)(F)(F))),$(C(C#N)),$(C(N(=O)(=O))),$(C([N+](=O)[O-])),$(C(C(=O)));!$(C(N))]",BMS,7,0,BMS_activated_vinyl_ester
183,3,activated_vinyl_sulfonate,"O(-S(=O)(=O))C=[$(C(S(=O)(=O))),$(C(C(F)(F)(F))),$(C(C#N)),$(C(N(=O)(=O))),$(C([N+](=O)[O-])),$(C(C(=O)));!$(C(N))]",BMS,7,0,BMS_activated_vinyl_sulfonate
184,3,acyclic_imide,"[C,c][C;!R](=O)[N;!R][C;!R](=O)[C,c]",BMS,7,0,BMS_acyclic_imide
185,3,acyl_123_triazole,[#7;R1]1~[#7;R1]~[#7;R1](-C(=O))~[#6]~[#6]1,BMS,7,0,BMS_acyl_123_triazole
186,3,acyl_134_triazole,[#7]1~[#7]~[#6]~[#7](-C(=O)[!N])~[#6]1,BMS,7,0,BMS_acyl_134_triazole
187,3,acyl_activated_NO,"O=C(-[!N])O[$([#7;+]),$(N(C=[O,S,N])(C=[O,S,N]))]",BMS,7,0,BMS_acyl_activated_NO
188,3,acyl_cyanide,C(=O)-C#N,BMS,7,0,BMS_acyl_cyanide
189,3,acyl_imidazole,"[C;!$(C-N)](=O)[#7]1[#6;H1,$([#6]([*;!R]))][#7][#6;H1,$([#6]([*;!R]))][#6;H1,$([#6]([*;!R]))]1",BMS,7,0,BMS_acyl_imidazole
190,3,acyl_pyrazole,"[C;!$(C-N)](=O)[#7]1[#7][#6;H1,$([#6]([*;!R]))][#6;H1,$([#6]([*;!R]))][#6;H1,$([#6]([*;!R]))]1",BMS,7,0,BMS_acyl_pyrazole
191,3,aldehyde,"[C,c][C;H1](=O)",BMS,7,0,BMS_aldehyde
192,3,alpha_dicarbonyl,C(=O)!@C(=O),BMS,7,0,BMS_alpha_dicarbonyl
193,3,alpha_halo_EWG,"[$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-])]-[CH,CH2]-[Cl,Br,I,$(O(S(=O)(=O)))]",BMS,7,0,BMS_alpha_halo_EWG
194,3,alpha_halo_amine,"[F,Cl,Br,I,$(O(S(=O)(=O)))]-[CH,CH2;!$(C(F)F)]-[N,n]",BMS,7,0,BMS_alpha_halo_amine
195,3,alpha_halo_carbonyl,"C(=O)([CH,CH2][Cl,Br,I,$(O(S(=O)(=O)))])",BMS,7,0,BMS_alpha_halo_carbonyl
196,3,alpha_halo_heteroatom,"[N,n,O,S;!$(S(=O)(=O))]-[CH,CH2;!$(C(F)(F))][F,Cl,Br,I,$(O(S(=O)(=O)))]",BMS,7,0,BMS_alpha_halo_heteroatom
197,3,alpha_halo_heteroatom_tert,"[N,n,O,S;!$(S(=O)(=O))]-C([Cl,Br,I,$(O(S(=O)(=O)))])(C)(C)",BMS,7,0,BMS_alpha_halo_heteroatom_tert
198,3,anhydride,"[$(C(=O)),$(C(=S))]-[O,S]-[$(C(=O)),$(C(=S)),$(C(=[N;!R])),$(C(=N(-[C;X4])))]",BMS,7,0,BMS_anhydride
199,3,aryl_phosphonate,P(=O)-[O;!R]-a,BMS,7,0,BMS_aryl_phosphonate
200,3,aryl_thiocarbonyl,a-[S;X2;!R]-[C;!R](=O),BMS,7,0,BMS_aryl_thiocarbonyl
201,3,azide,"[$(N#[N+]-[N-]),$([N-]=[N+]=N)]",BMS,7,0,BMS_azide
202,3,aziridine_diazirine,"[C,N]1~[C,N]~N~1",BMS,7,0,BMS_aziridine_diazirine
203,3,azo_amino,[N]=[N;!R]-[N],BMS,7,0,BMS_azo_amino
